FIRST NAME,LAST NAME,SEASON,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,HOMETOWN CITY,LAT,LONG,HOMETOWN STATE,STATE ABR
Ted,Ligety,Winter,M,Alpine Skiing,"Alpine Combined, Giant Slalom, Super-G","2006, 2010, 2014","5'11""",190,8/31/84,Park City,40.6505,-111.502,Utah,UT
Wiley,Maple,Winter,M,Alpine Skiing,Downhill,,"6'2""",220,5/25/90,Aspen,39.195,-106.8369,Colo.,CO
Steven,Nyman,Winter,M,Alpine Skiing,Did Not Compete,"2006, 2010, 2014","6'4""",220,2/12/82,Sundance,44.4048,-104.3623,Utah,UT
Andrew,Weibrecht,Winter,M,Alpine Skiing,Super-G,"2010, 2014","5'7""",190,2/10/86,Lake Placid,27.2977,-81.3715,N.Y.,NY
Emily,Dreissigacker,Winter,F,Biathlon,"15K Individual, 7.5K Sprint, 10K Pursuit, 4X6K Relay",,"5'9""",150,11/29/88,Morrisville,35.8367,-78.8348,Vt.,VT
Susan,Dunklee,Winter,F,Biathlon,"15K Individual, 7.5K Sprint, 4X6K Relay, Mixed Relay",2014,"5'7""",143,2/13/86,Barton,39.5323,-79.0171,Vt.,VT
Clare,Egan,Winter,F,Biathlon,"15K Individual, 7.5K Sprint, 4X6K Relay",,"5'8""",125,11/19/87,Cape Elizabeth,#N/A,#N/A,Maine,ME
Maddie,Phaneuf,Winter,F,Biathlon,Did Not Compete,,"5'4""",140,4/29/95,Old Forge,41.3705,-75.7409,N.Y.,NY
Joanne,Reid,Winter,F,Biathlon,"15K Individual, 7.5K Sprint, 4X6K Relay, Mixed Relay",,"5'5""",115,6/28/92,Boulder,46.2358,-112.1198,Colo.,CO
Lowell,Bailey,Winter,M,Biathlon,"20K Individual, 10K Sprint, 12.5K Pursuit, 4X7.5K Relay, Mixed Relay","2006, 2010, 2014","6'1""",170,7/15/81,Lake Placid,27.2977,-81.3715,N.Y.,NY
Tim,Burke,Winter,M,Biathlon,"20K Individual, 10K Sprint, 12.5K Pursuit, 4X7.5K Relay, Mixed Relay","2006, 2010, 2014","5'11""",160,2/3/82,Lake Placid,27.2977,-81.3715,N.Y.,NY
Russell,Currier,Winter,M,Biathlon,Did Not Compete,2014,"5'6""",148,6/26/87,Stockholm,45.1018,-96.7998,Maine,ME
Sean,Doherty,Winter,M,Biathlon,"20K Individual, 10K Sprint, 4X7.5K Relay",2014,"6'0""",168,6/8/95,North Conway,44.0524,-71.1247,N.H.,NH
Leif,Nordgren,Winter,M,Biathlon,"20K Individual, 10K Sprint, 12.5K Pursuit, 4X7.5K Relay",2014,"6'2""",175,5/18/89,Marine on St. Croix,45.1983,-92.7783,Minn.,MN
Aja,Evans,Winter,F,Bobsled,Women's Two-Man/Push,2014,"5'10""",170,5/12/88,Chicago,41.8373,-87.6862,Ill.,IL
Lauren,Gibbs,Winter,F,Bobsled,Women's Two-Man/Push,,"5'10""",170,3/2/84,Denver,39.7621,-104.8759,Colo.,CO
Jamie,Greubel Poser,Winter,F,Bobsled,Women's Two-Man/Pilot,2014,"5'9""",162,11/9/83,Newtown,39.1243,-84.3516,Pa.,PA
Elana,Meyers Taylor,Winter,F,Bobsled,Women's Two-Man/Pilot,"2010, 2014","5'7""",175,10/10/84,Douglasville,33.7384,-84.7065,Ga.,GA
Hakeem,Abdul-Saboor,Winter,M,Bobsled,"Four-Man, Two-Man/Push",,"6'0""",230,11/7/87,Powhatan,37.5427,-77.9267,Va.,VA
Codie,Bascue,Winter,M,Bobsled,"Four-Man, Two-Man/Pilot",,"5'9""",208,7/13/94,Whitehall,39.9682,-82.8833,N.Y.,NY
Nick,Cunningham,Winter,M,Bobsled,"Four-Man, Two-Man/Pilot","2010, 2014","5'11""",210,5/8/85,Monterey,36.5922,-121.8807,Calif.,CA
Chris,Fogt,Winter,M,Bobsled,Four-Man/Push,"2010, 2014","6'0""",205,5/29/83,Alpine,32.8439,-116.7585,Utah,UT
Chris,Kinney,Winter,M,Bobsled,Four-Man/Push,,"6'2""",217,11/9/88,Stockbridge,33.5253,-84.2294,Ga.,GA
Steven,Langton,Winter,M,Bobsled,Four-Man/Push,"2010, 2014","6'3""",235,4/15/83,Melrose,42.4556,-71.059,Mass.,MA
Sam,McGuffie,Winter,M,Bobsled,"Four-Man, Two-Man/Push",,"5'11""",210,10/16/89,Cypress,33.8171,-118.0386,Texas,TX
Sam,Michener,Winter,M,Bobsled,Four-Man/Push,,"5'9""",207,5/24/87,Gresham,45.5023,-122.4413,Ore.,OR
Justin,Olsen,Winter,M,Bobsled,"Four-Man, Two-Man/Pilot","2010, 2014","6'2""",230,4/16/87,San Antonio,29.4658,-98.5253,Texas,TX
Carlo,Valdes,Winter,M,Bobsled,Four-Man/Push,,"6'2""",230,2/11/90,Newport Beach,33.6151,-117.8669,Calif.,CA
Nathan,Weber,Winter,M,Bobsled,Four-Man/Push,,"6'2""",225,2/1/87,Pueblo West,38.3551,-104.7266,Colo.,CO
Evan,Weinstock,Winter,M,Bobsled,"Four-Man, Two-Man/Push",,"6'4""",215,10/30/91,Las Vegas,36.2333,-115.2654,Nev.,NV
Sadie,Bjornsen,Winter,F,Cross-Country Skiing,"Sprint Classic, 10K Freestyle, 30K Mass Start Classic, 4X5K Relay",2014,"5'9""",145,11/21/89,Winthrop,42.3751,-70.9847,Wash.,WA
Rosie,Brennan,Winter,F,Cross-Country Skiing,7.5K/7.5K Skiathlon ,,"5'6""",150,12/2/88,Anchorage,61.1508,-149.1091,Alaska,AK
Sophie,Caldwell,Winter,F,Cross-Country Skiing,"Sprint Classic, 4X5K Relay",2014,"5'7""",130,3/22/90,Peru,41.3484,-89.137,Vt.,VT
Jessie,Diggins,Winter,F,Cross-Country Skiing,"Sprint Classic, 10K Freestyle, 30K Mass Start Classic, 7.5K/7.5K Skiathlon, Team Sprint Freestyle, 4X5K Relay",2014,"5'4""",128,8/26/91,Afton,44.9042,-92.8174,Minn.,MN
Rosie,Frankowski,Winter,F,Cross-Country Skiing,30K Mass Start Classic,,"5'2""",112,7/30/91,Minneapolis,39.1243,-97.6997,Minn.,MN
Annie,Hart,Winter,F,Cross-Country Skiing,Did Not Compete,,"5'7""",138,8/20/92,Stillwater,36.1316,-97.074,Minn.,MN
Kaitlynn,Miller,Winter,F,Cross-Country Skiing,Did Not Compete,,"5'7""",130,8/9/91,Elmore,41.4707,-83.2912,Vt.,VT
Caitlin,Patterson,Winter,F,Cross-Country Skiing,"7.5K/7.5K Skiathlon, 30K Mass Start Classic",,"5'9""",132,1/30/90,Craftsbury,#N/A,#N/A,Vt.,VT
Kikkan,Randall,Winter,F,Cross-Country Skiing,"10K Freestyle, 7.5K/7.5K Skiathlon, Team Sprint Freestyle, 4X5K Relay","2002, 2006, 2010, 2014","5'5""",135,12/31/82,Anchorage,61.1508,-149.1091,Alaska,AK
Ida,Sargent,Winter,F,Cross-Country Skiing,Sprint Classic,2014,"5'4""",125,1/25/88,Craftsbury,#N/A,#N/A,Vt.,VT
Liz,Stephen,Winter,F,Cross-Country Skiing,10K Freestyle,"2010, 2014","5'2""",105,1/12/87,Montpelier,44.2658,-72.5717,Vt.,VT
Erik,Bjornsen,Winter,M,Cross-Country Skiing,"Sprint Classic, 15K Freestyle, 15K/15K Skiathlon, Team Sprint Freestyle",2014,"6'1""",175,7/14/91,Winthrop,42.3751,-70.9847,Wash.,WA
Patrick,Caldwell,Winter,M,Cross-Country Skiing,15K/15K Skiathlon ,,"6'0""",170,2/18/94,Lyme,#N/A,#N/A,N.H.,NH
Simi,Hamilton,Winter,M,Cross-Country Skiing,"Sprint Classic, Team Sprint Freestyle","2010, 2014","5'11""",175,5/14/87,Aspen,39.195,-106.8369,Colo.,CO
Logan,Hanneman,Winter,M,Cross-Country Skiing,Sprint Classic,,"6'1""",185,6/2/93,Fairbanks,64.8353,-147.6534,Alaska,AK
Reese,Hanneman,Winter,M,Cross-Country Skiing,4X10K Relay,,"5'11""",175,12/25/89,Fairbanks,64.8353,-147.6534,Alaska,AK
Noah,Hoffman,Winter,M,Cross-Country Skiing,"15K Freestyle, 50K Mass Start Classic, 15K/15K Skiathlon, 4X10K Relay",2014,"5'9""",160,8/1/89,Aspen,39.195,-106.8369,Colo.,CO
Tyler,Kornfield,Winter,M,Cross-Country Skiing,"15K Freestyle, 50K Mass Start Classic",,"6'2""",190,2/9/91,Anchorage,61.1508,-149.1091,Alaska,AK
Andy,Newell,Winter,M,Cross-Country Skiing,"Sprint Classic, 4X10K Relay","2006, 2010, 2014","5'10""",157,11/30/83,Shaftsbury,42.9411,-73.202,Vt.,VT
Scott,Patterson,Winter,M,Cross-Country Skiing,"15K Freestyle, 50K Mass Start Classic, 15K/15K Skiathlon, 4X10K Relay",,"5'11""",160,1/28/92,Craftsbury,#N/A,#N/A,Vt.,VT
Cory,Christensen,Winter,F,Curling,Team Roth/Fifth,,"5'4""",115,12/1/94,Duluth,46.7756,-92.1392,Minn.,MN
Aileen,Geving,Winter,F,Curling,Team Roth/Second,,"5'5""",132,2/13/87,Duluth,46.7756,-92.1392,Minn.,MN
Becca,Hamilton,Winter,F,Curling,"Team Roth/Lead, Mixed Doubles",,"5'5""",167,7/12/90,McFarland,35.6781,-119.2414,Wis.,WI
Tabitha,Peterson,Winter,F,Curling,Team Roth/Third,,"5'4""",130,3/6/89,Eagan,44.8169,-93.1638,Minn.,MN
Nina,Roth,Winter,F,Curling,Team Roth/Skip,,"5'5""",143,7/21/88,McFarland,35.6781,-119.2414,Wis.,WI
Tyler,George,Winter,M,Curling,Team Shuster/Third,,"6'0""",170,10/6/82,Duluth,46.7756,-92.1392,Minn.,MN
Matt,Hamilton,Winter,M,Curling,"Team Shuster/Second, Mixed Doubles",,"6'2""",215,2/19/89,McFarland,35.6781,-119.2414,Wis.,WI
John,Landsteiner,Winter,M,Curling,Team Shuster/Lead,2014,"5'10""",180,5/19/90,Duluth,46.7756,-92.1392,Minn.,MN
Joe,Polo,Winter,M,Curling,Team Shuster/Fifth,2006,"5'9""",195,12/10/82,Duluth,46.7756,-92.1392,Minn.,MN
John,Shuster,Winter,M,Curling,Team Shuster/Skip,"2006, 2010, 2014","6'0""",200,11/3/82,Chisholm,47.4877,-92.8788,Minn.,MN
Karen,Chen,Winter,F,Figure Skating,Singles,,"5'0""",105,8/16/99,Fremont,37.5265,-121.9852,Calif.,CA
Madison,Chock,Winter,F,Figure Skating,Ice Dance,2014,"5'2""",108,7/2/92,Redondo Beach,33.8574,-118.3766,Calif.,CA
Madison,Hubbell,Winter,F,Figure Skating,Ice Dance,,"5'8""",150,2/24/91,Sylvania,41.71,-83.7091,Ohio,OH
Mirai,Nagasu,Winter,F,Figure Skating,"Singles, Team Event",2010,"5'4""",125,4/16/93,Arcadia,34.1342,-118.0373,Calif.,CA
Alexa,Scimeca Knierim,Winter,F,Figure Skating,"Pairs, Team Event",,"5'2""",102,6/10/91,Addison,41.9314,-88.0085,Ill.,IL
Maia,Shibutani,Winter,F,Figure Skating,"Ice Dance, Team Event",2014,"5'3""",112,7/20/94,Ann Arbor,42.2755,-83.7312,Mich.,MI
Bradie,Tennell,Winter,F,Figure Skating,"Singles, Team Event",,"5'6""",122,1/31/98,Carpentersville,42.1227,-88.2895,Ill.,IL
Evan,Bates,Winter,M,Figure Skating,Ice Dance,"2010, 2014","6'1""",170,2/23/89,Ann Arbor,42.2755,-83.7312,Mich.,MI
Nathan,Chen,Winter,M,Figure Skating,"Singles, Team Event",,"5'6""",135,5/5/99,Salt Lake City ,40.7777,-111.9306,Utah,UT
Zachary,Donohue,Winter,M,Figure Skating,Ice Dance,,"6'2""",197,1/8/91,Madison,43.0826,-89.3931,Conn.,CT
Chris,Knierim,Winter,M,Figure Skating,"Pairs, Team Event",,"6'2""",187,11/5/87,San Diego ,32.8312,-117.1225,Calif.,CA
Adam,Rippon,Winter,M,Figure Skating,"Singles, Team Event",,"5'7""",145,11/11/89,Los Angeles,34.1139,-118.4068,Calif.,CA
Alex,Shibutani,Winter,M,Figure Skating,"Ice Dance, Team Event",2014,"6'0""",160,4/25/91,Ann Arbor,42.2755,-83.7312,Mich.,MI
Vincent,Zhou,Winter,M,Figure Skating,Singles,,"5'7""",128,10/25/00,Palo Alto,37.3913,-122.1468,Calif.,CA
Maddie,Bowman,Winter,F,Freestyle Skiing,Halfpipe,2014,"5'1""",138,1/10/94,South Lake Tahoe,38.9393,-119.9828,Calif.,CA
Ashley,Caldwell,Winter,F,Freestyle Skiing,Aerials,"2010, 2014","5'7""",135,9/14/93,Ashburn,39.03,-77.4711,Va.,VA
Caroline,Claire,Winter,F,Freestyle Skiing,Slopestyle,,"5'8""",155,2/2/00,Manchester Center,43.1822,-73.0362,Vt.,VT
Annalisa,Drew,Winter,F,Freestyle Skiing,Halfpipe,2014,"5'4""",115,5/28/93,Andover,45.2571,-93.3265,Mass.,MA
Tess,Johnson,Winter,F,Freestyle Skiing,Moguls,,"5'4""",117,6/19/00,Vail,32.0217,-110.6937,Colo.,CO
Jaelin,Kauf,Winter,F,Freestyle Skiing,Moguls,,"5'4""",135,9/26/96,Alta,42.6717,-95.3045,Wyo.,WY
Devin,Logan,Winter,F,Freestyle Skiing,"Halfpipe, Slopestyle",2014,"5'9""",185,2/17/93,West Dover,#N/A,#N/A,Vt.,VT
Keaton,McCargo,Winter,F,Freestyle Skiing,Moguls,,"5'6""",120,7/10/95,Telluride,37.9364,-107.8269,Colo.,CO
Kiley,McKinnon,Winter,F,Freestyle Skiing,Aerials,,"5'9""",125,9/1/95,Madison,43.0826,-89.3931,Conn.,CT
Madison,Olsen,Winter,F,Freestyle Skiing,Aerials,,"5'7""",135,4/7/95,Park City,40.6505,-111.502,Utah,UT
Morgan,Schild,Winter,F,Freestyle Skiing,Moguls,,"5'7""",150,8/25/97,Pittsford,#N/A,#N/A,N.Y.,NY
Brita,Sigourney,Winter,F,Freestyle Skiing,Halfpipe,2014,"5'7""",125,1/17/90,Carmel,39.965,-86.146,Calif.,CA
Darian,Stevens,Winter,F,Freestyle Skiing,Slopestyle,,"5'1""",130,10/29/96,Missoula,46.875,-114.0214,Mont.,MT
Maggie,Voisin,Winter,F,Freestyle Skiing,Slopestyle,2014,"5'3""",125,12/14/98,Whitefish,48.4329,-114.3591,Mont.,MT
Casey,Andringa,Winter,M,Freestyle Skiing,Moguls,,"5'11""",180,10/6/95,Boulder,46.2358,-112.1198,Colo.,CO
Aaron,Blunck,Winter,M,Freestyle Skiing,Halfpipe,2014,"6'0""",165,4/12/96,Crested Butte,38.8675,-106.9772,Colo.,CO
Mac,Bohonnon,Winter,M,Freestyle Skiing,Aerials,2014,"5'8""",145,3/27/95,Madison,43.0826,-89.3931,Conn.,CT
Alex,Ferreira,Winter,M,Freestyle Skiing,Halfpipe,,"5'9""",140,8/14/94,Aspen,39.195,-106.8369,Colo.,CO
Nick,Goepper,Winter,M,Freestyle Skiing,Slopestyle,2014,"6'0""",162,3/14/94,Lawrenceburg,38.0332,-84.9032,Ind.,IN
Alex,Hall,Winter,M,Freestyle Skiing,Slopestyle,,"6'4""",180,9/21/98,Park City,40.6505,-111.502,Utah,UT
Gus,Kenworthy,Winter,M,Freestyle Skiing,Slopestyle,2014,"5'10""",175,10/1/91,Telluride,37.9364,-107.8269,Colo.,CO
Jon,Lillis,Winter,M,Freestyle Skiing,Aerials,,"5'6""",130,8/20/94,Rochester,43.168,-77.6162,N.Y.,NY
Eric,Loughran,Winter,M,Freestyle Skiing,Aerials,,"5'10""",165,4/12/95,Pelham,33.3114,-86.7573,N.H.,NH
Troy,Murphy,Winter,M,Freestyle Skiing,Moguls,,"5'11""",165,6/13/92,Bethel,60.7928,-161.7917,Maine,ME
Emerson,Smith,Winter,M,Freestyle Skiing,Moguls,,"6'1""",168,2/13/97,Dover,39.161,-75.5203,Vt.,VT
McRae,Williams,Winter,M,Freestyle Skiing,Slopestyle,,"6'2""",175,10/23/90,Park City,40.6505,-111.502,Utah,UT
Bradley,Wilson,Winter,M,Freestyle Skiing,Moguls,2014,"5'10""",165,6/5/92,Butte,45.902,-112.6571,Mont.,MT
David,Wise,Winter,M,Freestyle Skiing,Halfpipe,2014,"6'1""",185,6/30/90,Reno,39.5497,-119.8483,Nev.,NV
Torin,Yater-Wallace,Winter,M,Freestyle Skiing,Halfpipe,2014,"5'9""",148,12/2/95,Basalt,39.3663,-107.0414,Colo.,CO
Cayla,Barnes,Winter,F,Ice Hockey,Defense,,"5'1""",145,1/7/99,Eastvale,33.9617,-117.5802,Calif.,CA
Kacey,Bellamy,Winter,F,Ice Hockey,Defense,"2010, 2014","5'7""",145,4/22/87,Westfield,40.0333,-86.1532,Mass.,MA
Hannah,Brandt,Winter,F,Ice Hockey,Forward,,"5'6""",150,11/27/93,Vadnais Heights,45.057,-93.0748,Minn.,MN
Dani,Cameranesi,Winter,F,Ice Hockey,Forward,,"5'5""",148,6/30/95,Plymouth,45.0225,-93.4618,Minn.,MN
Kendall,Coyne,Winter,F,Ice Hockey,Forward,2014,"5'2""",123,5/25/92,Palos Heights,41.6637,-87.7959,Ill.,IL
Brianna,Decker,Winter,F,Ice Hockey,Forward,2014,"5'4""",150,5/13/91,Dousman,43.0088,-88.476,Wis.,WI
Meghan,Duggan,Winter,F,Ice Hockey,Forward,"2010, 2014","5'10""",164,9/3/87,Danvers,40.5299,-89.1751,Mass.,MA
Kali,Flanagan,Winter,F,Ice Hockey,Defense,,"5'4""",142,9/19/95,Burlington,36.0758,-79.4686,Mass.,MA
Nicole,Hensley,Winter,F,Ice Hockey,Goalie,,"5'7""",155,6/23/94,Lakewood,39.6977,-105.1168,Colo.,CO
Megan,Keller,Winter,F,Ice Hockey,Defense,,"5'11""",160,5/1/96,Farmington,36.7555,-108.1823,Mich.,MI
Amanda,Kessel,Winter,F,Ice Hockey,Forward,2014,"5'5""",136,8/28/91,Madison,43.0826,-89.3931,Wis.,WI
Hilary,Knight,Winter,F,Ice Hockey,Forward,"2010, 2014","5'11""",175,7/12/89,Sun Valley,39.6106,-119.7765,Idaho,ID
Jocelyne,Lamoureux-Davidson,Winter,F,Ice Hockey,Forward,"2010, 2014","5'6""",150,7/3/89,Grand Forks,47.9218,-97.0886,N.D.,ND
Monique,Lamoureux-Morando,Winter,F,Ice Hockey,Forward,"2010, 2014","5'6""",147,7/3/89,Grand Forks,47.9218,-97.0886,N.D.,ND
Gigi,Marvin,Winter,F,Ice Hockey,Forward,"2010, 2014","5'8""",159,3/7/87,Warroad,48.9169,-95.3272,Minn.,MN
Sidney,Morin,Winter,F,Ice Hockey,Defense,,"5'5""",140,6/6/95,Minnetonka,44.9322,-93.4598,Minn.,MN
Kelly,Pannek,Winter,F,Ice Hockey,Forward,,"5'8""",165,12/29/95,Plymouth,45.0225,-93.4618,Minn.,MN
Amanda,Pelkey,Winter,F,Ice Hockey,Forward,,"5'3""",135,5/29/93,Montpelier,44.2658,-72.5717,Vt.,VT
Emily,Pfalzer,Winter,F,Ice Hockey,Defense,,"5'3""",125,6/14/93,Buffalo,42.9016,-78.8487,N.Y.,NY
Alex,Rigsby,Winter,F,Ice Hockey,Goalie,,"5'7""",150,1/3/92,Delafield,43.072,-88.3913,Wis.,WI
Maddie,Rooney,Winter,F,Ice Hockey,Goalie,,"5'5""",145,7/7/97,Andover,45.2571,-93.3265,Minn.,MN
Haley,Skarupa,Winter,F,Ice Hockey,Forward,,"5'6""",140,1/3/94,Rockville ,39.0834,-77.1552,Md.,MD
Lee,Stecklein,Winter,F,Ice Hockey,Defense,2014,"6'0""",175,4/23/94,Roseville,38.7703,-121.3196,Minn.,MN
Mark,Arcobello,Winter,M,Ice Hockey,Forward,,"5'8""",170,8/12/88,Milford,41.2256,-73.0616,Conn.,CT
Chad,Billins,Winter,M,Ice Hockey,Defense,,"5'10""",185,5/26/89,Marysville,48.0809,-122.1561,Mich.,MI
Jonathan,Blum,Winter,M,Ice Hockey,Defense,,"6'1""",195,1/30/89,Ladera Ranch,33.5491,-117.6416,Calif.,CA
Will,Borgen,Winter,M,Ice Hockey,Defense,,"6'2""",195,12/19/96,Moorhead,46.8673,-96.7461,Minn.,MN
Chris,Bourque,Winter,M,Ice Hockey,Forward,,"5'8""",180,1/29/86,North Reading,#N/A,#N/A,Mass.,MA
Bobby,Butler,Winter,M,Ice Hockey,Forward,,"6'0""",189,4/26/87,Marlborough,42.3494,-71.5468,Mass.,MA
Ryan,Donato,Winter,M,Ice Hockey,Forward,,"6'1""",196,4/9/96,Scituate,42.2121,-70.7652,Mass.,MA
Matt,Gilroy,Winter,M,Ice Hockey,Defense,,"6'1""",200,7/20/84,Bellmore,40.6569,-73.5285,N.Y.,NY
Brian,Gionta,Winter,M,Ice Hockey,Forward,2006,"5'7""",175,1/18/79,Rochester,43.168,-77.6162,N.Y.,NY
Jordan,Greenway,Winter,M,Ice Hockey,Forward,,"6'5""",235,2/16/97,Canton,40.8075,-81.3677,N.Y.,NY
Ryan,Gunderson,Winter,M,Ice Hockey,Defense,,"5'9""",170,8/16/85,Bensalem,#N/A,#N/A,Pa.,PA
Chad,Kolarik,Winter,M,Ice Hockey,Forward,,"5'11""",185,1/26/86,Abington,#N/A,#N/A,Pa.,PA
David,Leggio,Winter,M,Ice Hockey,Goalie,,"6'0""",185,7/31/84,Buffalo,42.9016,-78.8487,N.Y.,NY
Broc,Little,Winter,M,Ice Hockey,Forward,,"5'9""",170,3/24/88,Rindge ,#N/A,#N/A,N.H.,NH
Brandon,Maxwell,Winter,M,Ice Hockey,Goalie,,"6'1""",196,3/22/91,Winter Park,28.5987,-81.3438,Fla.,FL
John,McCarthy,Winter,M,Ice Hockey,Forward,,"6'1""",195,8/9/86,Boston,42.3188,-71.0846,Mass.,MA
Brian,O'Neill,Winter,M,Ice Hockey,Forward,,"5'9""",174,6/1/88,Yardley,40.2408,-74.8385,Pa.,PA
Garrett,Roe,Winter,M,Ice Hockey,Forward,,"5'9""",178,2/22/88,Vienna,38.8996,-77.2597,Va.,VA
Bobby,Sanguinetti,Winter,M,Ice Hockey,Defense,,"6'2""",190,2/29/88,Wilmington,34.21,-77.8866,N.C.,NC
Jim,Slater,Winter,M,Ice Hockey,Forward,,"6'0""",200,12/9/82,Lapeer,43.0447,-83.3254,Mich.,MI
Ryan,Stoa,Winter,M,Ice Hockey,Forward,,"6'3""",210,4/13/87,Bloomington,40.4757,-88.9703,Minn.,MN
Troy,Terry,Winter,M,Ice Hockey,Forward,,"6'0""",179,9/10/97,Highlands Ranch,39.5419,-104.9708,Colo.,CO
Noah,Welch,Winter,M,Ice Hockey,Defense,,"6'4""",215,8/26/82,Brighton,39.9716,-104.7964,Mass.,MA
James,Wisniewski,Winter,M,Ice Hockey,Defense,,"6'0""",205,2/21/84,Canton,40.8075,-81.3677,Mich.,MI
Ryan,Zapolski,Winter,M,Ice Hockey,Goalie,,"6'0""",203,11/11/86,Erie,42.1168,-80.0733,Pa.,PA
Summer,Britcher,Winter,F,Luge,"Singles, Team Event",2014,"5'10""",170,3/21/94,Glen Rock,40.9601,-74.1249,Pa.,PA
Erin,Hamlin,Winter,F,Luge,Singles,"2006, 2010, 2014","5'7""",156,11/19/86,Remsen,42.8148,-95.9725,N.Y.,NY
Emily,Sweeney,Winter,F,Luge,Singles,,"5'5""",148,3/16/93,Suffield,41.983,-72.6463,Conn.,CT
Justin,Krewson,Winter,M,Luge,Doubles,,"6'2""",175,7/24/96,Eastport,40.8407,-72.7251,N.Y.,NY
Chris,Mazdzer,Winter,M,Luge,"Singles, Team Event","2010, 2014","6'1""",215,6/26/88,Saranac Lake,44.3245,-74.1314,N.Y.,NY
Taylor,Morris,Winter,M,Luge,Singles,,"5'11""",188,6/4/91,Salt Lake City ,40.7777,-111.9306,Utah,UT
Matt,Mortensen,Winter,M,Luge,"Doubles, Team Event",2014,"6'0""",192,12/11/85,Huntington Station,40.8446,-73.405,N.Y.,NY
Andrew,Sherk,Winter,M,Luge,Doubles,,"5'8""",160,4/15/92,Fort Washington,38.7339,-77.0069,Pa.,PA
Jayson,Terdiman,Winter,M,Luge,"Doubles, Team Event",2014,"5'7""",160,12/21/88,Berwick,41.0555,-76.2492,Pa.,PA
